종목명,티커,테마(업종),합산 스코어,조합 (교집합),대응 전략 가이드
계양전기,012200,기타,301.3,기본스윙 + 변동성돌파 + 멀티팩터,🔥 최고 등급: 복수 전략 동시 시그널
슈어소프트테크,298830,우량기업부,280.0,기본스윙 + 롱텀매직,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
대한항공,003490,기타,280.0,기본스윙 + 롱텀매직,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
현대무벡스,319400,우량기업부,262.7,기본스윙 + 변동성돌파,🌊 단기 모멘텀: 추세 호조 상태에서 단기 수급이 터진 상황 (짧은 손절선 잡고 단기 트레이딩)
현대오토에버,307950,기타,260.0,기본스윙 + 변동성돌파,🌊 단기 모멘텀: 추세 호조 상태에서 단기 수급이 터진 상황 (짧은 손절선 잡고 단기 트레이딩)
텔레칩스,054450,중견기업부,251.8,기본스윙 + 변동성돌파,🌊 단기 모멘텀: 추세 호조 상태에서 단기 수급이 터진 상황 (짧은 손절선 잡고 단기 트레이딩)
현대모비스,012330,기타,246.1,기본스윙 + 변동성돌파,🌊 단기 모멘텀: 추세 호조 상태에서 단기 수급이 터진 상황 (짧은 손절선 잡고 단기 트레이딩)
한솔테크닉스,004710,기타,233.4,기본스윙 + 변동성돌파,🌊 단기 모멘텀: 추세 호조 상태에서 단기 수급이 터진 상황 (짧은 손절선 잡고 단기 트레이딩)
서울바이오시스,092190,투자주의환기종목(소속부없음),230.1,기본스윙 + 멀티팩터,🔥 안심 매수: 우량 실적주의 안정적인 우상향 초기 (가장 추천하는 중장기 스윙)
한라캐스트,125490,벤처기업부,225.4,기본스윙 + 변동성돌파,🌊 단기 모멘텀: 추세 호조 상태에서 단기 수급이 터진 상황 (짧은 손절선 잡고 단기 트레이딩)
한국피아이엠,448900,기술성장기업부,224.6,기본스윙 + 변동성돌파,🌊 단기 모멘텀: 추세 호조 상태에서 단기 수급이 터진 상황 (짧은 손절선 잡고 단기 트레이딩)
코오롱,002020,기타,169.1,변동성돌파 + 롱텀매직,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
휴젤,145020,우량기업부,156.2,변동성돌파 + 롱텀매직,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
서희건설,035890,중견기업부,151.6,과매도반전 + 롱텀매직,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
LG씨엔에스,064400,기타,143.5,변동성돌파 + 롱텀매직,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
가온전선,000500,기타,111.8,변동성돌파 + 멀티팩터,🚀 돌파 매매: 우량주에 수급이 몰리며 대시세 분출 시도 중 (시장 주도주)
해성옵틱스,076610,벤처기업부,111.3,변동성돌파 + 멀티팩터,🚀 돌파 매매: 우량주에 수급이 몰리며 대시세 분출 시도 중 (시장 주도주)
대성에너지,117580,기타,108.0,과매도반전 + 변동성돌파,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
한국석유,004090,기타,100.7,과매도반전 + 변동성돌파,⚠️ 강력한 다중 신호 포착. 특이한 복합 시그널이므로 분할 매수 접근.
